City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Gamba,GA,2022-07-28 00:27:42,-2.65,10.0,69.1,92,45,4.18
68,Mabaruma,GY,2022-07-28 00:27:43,8.2,-59.7833,75.06,91,9,3.15
69,Narsaq,GL,2022-07-28 00:27:43,60.9167,-46.05,50.22,85,18,4.09
70,Cayenne,GF,2022-07-28 00:26:35,4.9333,-52.3333,77.09,1,0,2.3
71,Cherskiy,RU,2022-07-28 00:27:44,68.75,161.3,53.65,48,61,2.53
72,Cape Town,ZA,2022-07-28 00:27:33,-33.9258,18.4232,60.39,74,0,3.44
73,Victoria,HK,2022-07-28 00:25:30,22.2855,114.1577,89.26,81,0,4.0
74,Bredasdorp,ZA,2022-07-28 00:27:39,-34.5322,20.0403,49.23,90,0,5.68
75,Saint-Joseph,RE,2022-07-28 00:27:45,-21.3667,55.6167,66.58,77,23,4.79
76,Castro,BR,2022-07-28 00:27:46,-24.7911,-50.0119,57.97,78,44,3.02
77,Port Alfred,ZA,2022-07-28 00:27:46,-33.5906,26.891,62.92,79,95,12.39
78,Clyde River,CA,2022-07-28 00:26:46,70.4692,-68.5914,39.43,93,100,8.05
79,Rio Grande,BR,2022-07-28 00:27:47,-32.035,-52.0986,57.31,96,83,7.45
80,Madimba,TZ,2022-07-28 00:27:47,-10.4,40.3333,69.4,88,4,9.42
81,Saint-Philippe,RE,2022-07-28 00:27:47,-21.3585,55.7679,67.59,80,9,7.27
82,Ayagoz,KZ,2022-07-28 00:27:48,47.9714,80.4392,68.56,46,50,8.99
83,Punta Arenas,CL,2022-07-28 00:25:51,-53.15,-70.9167,41.11,70,20,34.52
84,San Carlos De Bariloche,AR,2022-07-28 00:27:49,-41.1456,-71.3082,38.95,81,40,11.5
85,Alugan,PH,2022-07-28 00:27:49,12.2188,125.4808,80.96,87,78,7.14
86,Mantua,IT,2022-07-28 00:27:50,45.1667,10.7833,77.61,82,26,1.01
87,Mecca,SA,2022-07-28 00:23:30,21.4267,39.8261,88.88,58,100,11.01
88,Ruhengeri,RW,2022-07-28 00:27:50,-1.4998,29.635,59.43,76,86,0.63
89,Huoqiu,CN,2022-07-28 00:28:51,32.3394,116.2694,79.48,88,96,2.82
