City_ID,City,Country,Max Temp,Weather Discription,Lat,Lng,Hotel Name
164,Victoria,HK,87.33,overcast clouds,22.2855,114.1577,Mini Central
166,Tessalit,ML,95.56,overcast clouds,20.1986,1.0114,
171,Hithadhoo,MV,82.18,overcast clouds,-0.6,73.0833,Scoop Guest House
172,Dickinson,US,97.99,few clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
176,Tekkali,IN,80.98,scattered clouds,18.6167,84.2333,Spoorthi function hall
177,Bahia Honda,CU,88.25,few clouds,22.9036,-83.1592,Casa Gualberto - Deysi
184,Sao Desiderio,BR,88.56,clear sky,-12.3633,-44.9733,Pousada do Luizão
187,Tunkas,MX,95.14,broken clouds,20.9,-88.75,Posada Tunkás
194,Cabo San Lucas,MX,93.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
195,Yatou,CN,75.97,scattered clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
197,Yumen,CN,76.84,broken clouds,40.2833,97.2,
198,Beatrice,US,82.18,clear sky,40.2681,-96.747,Victorian Inn Beatrice
200,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
207,Wewak,PG,78.64,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
210,Vila Do Maio,CV,90.39,clear sky,15.1333,-23.2167,Hotel Marilu
212,Akdepe,TM,84.29,clear sky,42.0551,59.3788,
214,Alpena,US,81.18,broken clouds,45.0617,-83.4327,Days Inn by Wyndham Alpena
216,Ponta Do Sol,PT,75.7,clear sky,32.6667,-17.1,Hotel do Campo
219,Batticaloa,LK,79.56,heavy intensity rain,7.7102,81.6924,Grand Star Guest House
221,Oum Hadjer,TD,80.01,scattered clouds,13.2954,19.6966,
226,Glace Bay,CA,75.85,scattered clouds,46.1969,-59.957,Cedarwoods Bed & Breakfast
233,Fortuna Foothills,US,96.85,clear sky,32.6578,-114.4119,Fortuna De Oro RV Park
235,Bubaque,GW,79.99,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
236,Nalut,LY,93.96,scattered clouds,30.3333,10.85,
237,Cape Girardeau,US,84.79,overcast clouds,37.3834,-89.7168,Independence Park Mobile Home Court
241,Tonekabon,IR,76.95,light rain,36.8163,50.8738,Hotel Sadra
242,Bandarbeyla,SO,76.6,broken clouds,9.4942,50.8122,JABIR HOTEL
243,Sorong,ID,77.61,broken clouds,-0.8833,131.25,Waigo Splash Hotel
244,Geneva,US,81.79,clear sky,41.8875,-88.3054,Best Western Inn Of St. Charles
247,Shediac,CA,77.52,broken clouds,46.2198,-64.5411,Auberge Gabrièle (Hôtel & Restaurant)
251,Pacific Grove,US,82.22,scattered clouds,36.6177,-121.9166,Lovers Point Inn
253,Grajau,BR,94.53,clear sky,-5.8194,-46.1386,Hotel Confiança
256,Sao Jose Da Coroa Grande,BR,76.12,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
257,Sinnamary,GF,81.0,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
258,Isla Mujeres,MX,89.65,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
260,Sur,OM,82.51,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
262,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
265,Korla,CN,90.88,overcast clouds,41.7597,86.1469,Gulisitan Hotel
266,Dakar,SN,84.33,scattered clouds,14.6937,-17.4441,Novotel Dakar
274,Marzuq,YE,84.33,overcast clouds,14.4,46.4667,
276,Turkmenabat,TM,84.18,clear sky,39.0733,63.5786,"Гостиница ""Yupek Yoly"" (Шелковый путь)"
277,Venice,US,96.06,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
279,Jiayuguan,CN,75.56,clear sky,39.8167,98.3,Jiugang Hotel - Jiayuguan
281,Azacualpa,HN,83.05,overcast clouds,15.3433,-88.5514,Hotel Merendon
284,Beihai,CN,84.69,broken clouds,21.4833,109.1,21 Degree Hostel
286,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
288,Puri,IN,82.92,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
289,Saint Anthony,US,76.78,overcast clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
290,Faanui,PF,79.39,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
291,Dawlatabad,AF,84.29,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
297,Turan,VN,78.78,few clouds,16.0678,108.2208,Grand Mercure Danang
300,Kavieng,PG,80.83,light rain,-2.5744,150.7967,Nusa Island Retreat
301,Westport,US,91.31,overcast clouds,41.1415,-73.3579,The Westport Inn
303,Riachao Das Neves,BR,86.76,clear sky,-11.7461,-44.91,Casa Costa
305,Bilma,NE,95.81,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
306,Tocache,PE,87.58,scattered clouds,-8.1842,-76.5125,Residencial JATER
308,Ubauro,PK,87.31,heavy intensity rain,28.1652,69.7289,Stamp Vendor
312,Shache,CN,83.71,overcast clouds,38.4167,77.2406,Delong Hotel
315,Djambala,CG,75.09,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
316,Sola,VU,80.17,broken clouds,-13.8833,167.55,Leumerus Bungalows
322,Razole,IN,80.11,scattered clouds,16.4833,81.8333,Sterling Palavelli Godavari
325,Gigmoto,PH,80.94,light rain,13.7796,124.39,Cj's Travellers Inn
328,Hambantota,LK,78.48,overcast clouds,6.1241,81.1185,Bungalow 63
329,Sao Filipe,CV,79.38,scattered clouds,14.8961,-24.4956,Hotel Xaguate
330,Eydhafushi,MV,81.48,overcast clouds,5.1033,73.0708,Soneva Fushi
331,Srikakulam,IN,81.68,clear sky,18.3,83.9,Micro Systems
337,Bud,US,88.93,broken clouds,39.447,-86.1758,Ted McQuinn Trust
338,San Patricio,US,99.18,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
339,Salamanca,ES,80.74,clear sky,40.8333,-6.0,Palacio Carrascalino
344,Glendive,US,81.48,clear sky,47.1053,-104.7125,Super 8 by Wyndham Glendive
346,Arlit,NE,86.63,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
347,Blythe,US,93.04,scattered clouds,33.6103,-114.5964,Rodeway Inn & Suites
349,Abu Kamal,SY,95.25,clear sky,34.4506,40.9171,البوكمال
350,Alice Town,BS,83.39,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
351,Lusambo,CD,75.4,scattered clouds,-4.9667,23.45,
355,Methoni,GR,85.21,clear sky,36.8197,21.7049,Methoni Beach Hotel
356,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
358,Wenling,CN,76.73,clear sky,28.3669,121.36,Hanting Express Wenling Wanchang North Road
359,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
360,Gat,IL,83.39,clear sky,31.61,34.7642,OlusHome
361,Corral Nuevo,MX,87.06,broken clouds,18.1146,-95.1154,
365,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
366,Umm Kaddadah,SD,84.52,light rain,13.6017,26.6876,
368,Siirt,TR,80.73,clear sky,37.9326,41.9403,Barden Otel
370,Palatka,US,96.12,overcast clouds,29.6486,-81.6376,"Holiday Inn Express & Suites Palatka Northwest, an IHG Hotel"
373,Celestun,MX,87.84,scattered clouds,20.8667,-90.4,Posada Lilia
375,Tando Muhammad Khan,PK,82.27,overcast clouds,25.123,68.5358,Rehmat Mobile Shop
383,Balkanabat,TM,86.38,clear sky,39.5108,54.3671,Nebitchi Hotel
384,Teluknaga,ID,82.44,scattered clouds,-6.0989,106.6381,Bale Home
386,Porto Walter,BR,91.35,few clouds,-8.2686,-72.7439,Hotel Silva
387,Bella Vista,US,88.05,clear sky,36.4295,-94.2316,The Inn at Bella Vista
388,Asyut,EG,93.38,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
389,Kidal,ML,86.13,light rain,18.4411,1.4078,
390,Sadovoye,RU,84.6,overcast clouds,47.7764,44.5089,Putnik
391,Sena Madureira,BR,96.01,clear sky,-9.0656,-68.6569,Hotel Central
394,Sibolga,ID,76.08,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
396,Saint George,US,95.25,few clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
398,Novouzensk,RU,77.02,broken clouds,50.4592,48.1431,Gostinichnyy Domik
399,Hisor,TJ,82.15,clear sky,38.525,68.5512,Gostinitsa Usto Nabot
400,Fredericksburg,US,90.61,scattered clouds,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
402,Hyeres,FR,83.05,clear sky,43.1167,6.1167,ibis budget Hyères Centre-Ville
411,Kanbe,MM,80.65,scattered clouds,16.7053,96.0017,CBT Mingalar Bar Bio Garden
413,Cabedelo,BR,83.07,clear sky,-6.9811,-34.8339,Pousada Camboinha
414,Tomatlan,MX,90.61,broken clouds,19.9333,-105.25,El Salvial
416,Eatonton,US,94.23,overcast clouds,33.3268,-83.3885,Western Motel of Eatonton
417,Hasaki,JP,77.4,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
419,Amahai,ID,76.59,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
420,Kosonsoy,UZ,75.76,broken clouds,41.2561,71.5508,"Гостиница ""Goldstar'"
421,Dingle,PH,77.61,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
422,Wajima,JP,77.85,clear sky,37.4,136.9,Wajiima Onsen Yashio
427,Baisha,CN,75.72,overcast clouds,26.5222,110.9311,Xiangcun Old Place Hotel
431,Ewa Beach,US,84.15,scattered clouds,21.3156,-158.0072,Base Lodging
434,Snyder,US,99.09,scattered clouds,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
435,Navrongo,GH,78.85,overcast clouds,10.8956,-1.0921,Azakka Hotel
437,Tallahassee,US,88.0,thunderstorm,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
438,Teluk Nibung,ID,77.29,overcast clouds,3.001,99.8164,Hotel Assyifa
439,Imbituba,BR,78.85,moderate rain,-28.24,-48.6703,Praia Hotel Imbituba
440,Sechura,PE,77.38,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
443,Mandan,US,76.37,scattered clouds,46.8267,-100.8896,Twin City Estates
444,Jeremie,HT,82.54,broken clouds,18.65,-74.1167,Auberge’Inn
